Hour,Load,Existing Onshore Wind,Existing Fixed PV,Existing Single Axis PV,Existing Rooftop PV,Proposed Onshore Wind,Proposed Single Axis PV,Proposed Rooftop PV
1,"2,122.65",602.11,0.00,0.00,0.00,"3,367.28",0.00,0.00
2,"2,024.96",566.72,0.00,0.00,0.00,"3,274.07",0.00,0.00
3,"1,941.53",508.85,0.00,0.00,0.00,"3,038.76",0.00,0.00
4,"1,898.83",439.64,0.00,0.00,0.00,"2,474.87",0.00,0.00
5,"1,878.31",411.85,0.00,0.00,0.00,"1,903.88",0.00,0.00
6,"1,804.13",397.29,0.22,4.43,23.88,"1,473.87",79.54,23.88
7,"1,687.66",432.01,0.31,20.10,17.03,"1,640.17",347.97,17.03
8,"1,511.27",399.13,2.21,87.52,277.12,"1,668.80","1,771.73",277.12
9,"1,300.43",335.68,4.82,118.32,644.77,"1,426.89","2,481.62",644.77
10,"1,150.34",261.66,7.09,127.68,969.82,"1,205.72","2,708.14",969.82
11,"1,067.39",180.58,8.73,133.94,"1,211.64","1,021.94","2,833.20","1,211.64"
12,"1,076.38",137.58,9.74,136.11,"1,350.69",976.48,"2,891.26","1,350.69"
13,"1,122.80",138.38,9.80,137.61,"1,422.18","1,261.23","2,938.72","1,422.18"
14,"1,173.02",185.15,9.62,137.96,"1,377.64","1,739.80","2,946.35","1,377.64"
15,"1,304.58",278.90,8.53,137.15,"1,232.87","2,252.15","2,913.06","1,232.87"
16,"1,531.00",367.74,6.77,133.51,990.15,"2,617.31","2,830.55",990.15
17,"1,819.87",463.56,4.40,121.31,658.72,"3,038.85","2,586.12",658.72
18,"2,141.94",512.86,1.77,62.39,282.47,"3,189.48","1,379.09",282.47
19,"2,370.54",555.53,0.80,17.93,115.23,"3,654.06",379.91,115.23
20,"2,414.99",605.59,0.00,0.00,0.11,"4,209.91",0.11,0.11
21,"2,367.24",615.64,0.00,0.00,0.00,"4,589.79",0.00,0.00
22,"2,251.72",623.70,0.00,0.00,0.00,"4,561.63",0.00,0.00
23,"2,119.02",664.61,0.00,0.00,0.00,"4,337.03",0.00,0.00
24,"2,005.21",624.19,0.00,0.00,0.00,"3,923.04",0.00,0.00
25,"1,925.05",533.34,0.00,0.00,0.00,"3,476.71",0.00,0.00
26,"1,873.69",449.20,0.00,0.00,0.00,"3,180.62",0.00,0.00
27,"1,832.35",399.16,0.00,0.00,0.00,"3,076.52",0.00,0.00
28,"1,818.20",410.88,0.00,0.00,0.00,"3,065.83",0.00,0.00
29,"1,819.62",460.29,0.00,0.00,0.00,"2,941.74",0.00,0.00
30,"1,777.09",381.98,0.22,4.76,23.65,"2,269.80",84.97,23.65
31,"1,676.55",254.48,0.15,17.96,5.69,"1,565.43",321.60,5.69
32,"1,514.94",198.76,2.15,90.15,269.38,"1,086.08","1,836.46",269.38
33,"1,323.30",128.66,4.80,119.23,644.75,650.23,"2,512.26",644.75
34,"1,186.29",65.71,7.05,128.07,968.19,309.68,"2,717.65",968.19
35,"1,150.04",21.29,8.65,133.14,"1,198.95",82.60,"2,816.49","1,198.95"
36,"1,222.54",2.33,9.57,135.32,"1,336.55",17.23,"2,875.55","1,336.55"
37,"1,321.63",8.29,9.76,135.86,"1,396.33",245.54,"2,895.26","1,396.33"
38,"1,446.88",49.63,9.30,134.94,"1,362.17",773.31,"2,883.41","1,362.17"
39,"1,618.59",143.26,8.26,134.23,"1,222.78","1,567.72","2,854.87","1,222.78"
40,"1,873.21",235.79,6.58,131.47,984.47,"2,182.93","2,788.76",984.47
41,"2,195.59",288.90,4.31,119.65,658.61,"2,607.79","2,555.51",658.61
42,"2,491.49",284.51,1.77,62.33,284.47,"2,414.52","1,382.49",284.47
43,"2,687.59",310.84,0.79,17.94,100.45,"2,962.45",375.94,100.45
44,"2,677.52",442.97,0.00,0.00,0.11,"3,887.87",0.11,0.11
45,"2,587.42",580.08,0.00,0.00,0.00,"4,096.29",0.00,0.00
46,"2,424.19",608.55,0.00,0.00,0.00,"4,142.08",0.00,0.00
47,"2,274.43",586.02,0.00,0.00,0.00,"3,959.80",0.00,0.00
48,"2,133.10",519.19,0.00,0.00,0.00,"3,564.65",0.00,0.00
49,"2,033.01",454.35,0.00,0.00,0.00,"3,164.94",0.00,0.00
50,"1,946.27",417.09,0.00,0.00,0.00,"2,745.99",0.00,0.00
51,"1,900.87",379.29,0.00,0.00,0.00,"2,373.51",0.00,0.00
52,"1,878.70",329.87,0.00,0.00,0.00,"2,126.18",0.00,0.00
53,"1,873.07",286.02,0.00,0.00,0.00,"2,116.34",0.00,0.00
54,"1,841.44",241.61,0.21,4.34,21.63,"1,782.19",74.27,21.63
55,"1,774.99",131.66,0.20,17.37,8.10,"1,118.80",324.23,8.10
56,"1,640.24",88.63,2.12,85.95,267.01,870.27,"1,753.71",267.01
57,"1,504.83",64.47,4.68,114.46,633.57,776.38,"2,421.71",633.57
58,"1,387.00",52.01,6.87,120.79,954.51,826.32,"2,628.02",954.51
59,"1,390.82",64.31,8.43,127.90,"1,194.78",949.43,"2,733.02","1,194.78"
60,"1,451.41",94.44,9.26,126.63,"1,347.93","1,232.21","2,752.36","1,347.93"
61,"1,565.48",163.89,9.60,130.25,"1,400.26","1,757.62","2,780.40","1,400.26"
62,"1,701.65",253.76,9.23,127.85,"1,356.12","2,251.67","2,794.54","1,356.12"
63,"1,921.78",333.69,8.13,119.68,"1,215.36","2,892.53","2,746.81","1,215.36"
64,"2,183.25",405.16,6.52,127.01,977.99,"3,510.21","2,655.35",977.99
65,"2,487.95",464.30,4.27,115.86,652.37,"4,009.77","2,424.01",652.37
66,"2,768.89",534.62,1.78,61.45,287.46,"4,402.54","1,324.71",287.46
67,"2,910.89",517.13,0.70,17.45,100.30,"4,693.73",340.29,100.30
68,"2,876.21",644.97,0.00,0.00,0.15,"4,815.54",0.10,0.15
69,"2,778.31",736.51,0.00,0.00,0.00,"4,875.53",0.00,0.00
70,"2,590.29",685.86,0.00,0.00,0.00,"4,731.93",0.00,0.00
71,"2,397.96",599.29,0.00,0.00,0.00,"4,429.84",0.00,0.00
72,"2,220.36",560.54,0.00,0.00,0.00,"4,129.61",0.00,0.00
73,"2,079.82",540.57,0.00,0.00,0.00,"4,076.09",0.00,0.00
74,"1,990.94",549.27,0.00,0.00,0.00,"4,175.80",0.00,0.00
75,"1,943.97",564.50,0.00,0.00,0.00,"4,090.24",0.00,0.00
76,"1,896.79",580.75,0.00,0.00,0.00,"3,995.33",0.00,0.00
77,"1,889.34",601.27,0.00,0.00,0.00,"3,781.37",0.00,0.00
78,"1,916.12",473.85,0.20,3.85,19.87,"3,062.73",65.78,19.87
79,"1,948.88",352.86,0.26,17.90,7.69,"2,980.48",316.40,7.69
80,"1,924.58",264.02,2.10,86.19,261.94,"2,827.17","1,753.26",261.94
81,"1,802.92",205.32,4.70,116.38,631.04,"2,601.91","2,467.47",631.04
82,"1,689.59",165.08,6.97,126.91,955.16,"2,448.81","2,683.84",955.16
83,"1,659.82",135.16,8.62,132.25,"1,190.38","2,320.94","2,813.54","1,190.38"
84,"1,737.00",133.15,9.56,134.35,"1,333.76","2,330.17","2,867.60","1,333.76"
85,"1,905.24",145.87,9.78,135.67,"1,376.00","2,477.77","2,907.59","1,376.00"
86,"2,132.98",173.85,9.41,135.90,"1,338.99","2,889.80","2,910.75","1,338.99"
87,"2,401.73",210.97,8.28,132.31,"1,193.21","3,253.34","2,877.34","1,193.21"
88,"2,720.87",255.84,6.66,125.29,965.59,"3,523.79","2,802.19",965.59
89,"3,105.87",291.66,4.34,114.13,646.92,"3,722.59","2,545.38",646.92
90,"3,420.65",302.51,1.83,58.13,287.91,"3,627.68","1,376.58",287.91
91,"3,536.49",395.80,0.79,14.22,100.45,"4,228.37",373.22,100.45
92,"3,423.78",486.79,0.00,0.00,0.15,"4,532.34",0.10,0.15
93,"3,225.81",531.94,0.00,0.00,0.00,"4,698.03",0.00,0.00
94,"2,921.41",555.39,0.00,0.00,0.00,"4,911.41",0.00,0.00
95,"2,630.33",665.15,0.00,0.00,0.00,"5,058.95",0.00,0.00
96,"2,355.22",764.21,0.00,0.00,0.00,"5,044.09",0.00,0.00
97,"2,185.78",803.10,0.00,0.00,0.00,"4,902.59",0.00,0.00
98,"2,067.91",789.08,0.00,0.00,0.00,"4,795.82",0.00,0.00
99,"1,991.92",786.99,0.00,0.00,0.00,"4,770.26",0.00,0.00
100,"1,934.89",798.12,0.00,0.00,0.00,"4,830.00",0.00,0.00
101,"1,909.20",809.10,0.00,0.00,0.00,"4,961.14",0.00,0.00
102,"1,931.44",739.88,0.19,3.90,19.07,"4,768.25",67.24,19.07
103,"1,938.64",637.21,0.16,16.34,4.50,"4,411.68",289.90,4.50
104,"1,898.87",495.60,2.07,86.64,256.48,"3,312.28","1,762.09",256.48
105,"1,788.36",343.09,4.67,117.14,627.39,"2,329.50","2,459.54",627.39
106,"1,682.73",250.88,6.94,126.32,953.06,"1,582.39","2,676.82",953.06
107,"1,689.30",198.87,8.55,132.19,"1,188.77","1,135.54","2,791.51","1,188.77"
108,"1,836.18",148.80,9.51,134.59,"1,329.25",926.98,"2,855.09","1,329.25"
109,"2,031.87",116.47,9.76,135.89,"1,378.44",965.10,"2,879.69","1,378.44"
110,"2,247.33",124.56,9.36,135.88,"1,338.61","1,334.21","2,888.79","1,338.61"
111,"2,475.18",184.61,8.31,134.21,"1,208.83","2,114.87","2,862.33","1,208.83"
112,"2,685.44",270.89,6.64,130.72,981.61,"2,652.68","2,793.44",981.61
113,"2,945.89",347.73,4.38,118.99,660.60,"3,115.86","2,557.62",660.60
114,"3,159.84",382.60,1.84,63.57,294.82,"3,210.43","1,413.14",294.82
115,"3,234.04",388.58,0.79,17.77,97.61,"3,786.92",375.44,97.61
116,"3,124.39",446.18,0.00,0.00,0.15,"4,332.80",0.11,0.15
117,"2,968.06",484.36,0.00,0.00,0.00,"4,791.00",0.00,0.00
118,"2,745.34",508.01,0.00,0.00,0.00,"4,758.43",0.00,0.00
119,"2,518.52",544.22,0.00,0.00,0.00,"4,554.38",0.00,0.00
120,"2,326.05",606.46,0.00,0.00,0.00,"4,394.47",0.00,0.00
121,"2,180.77",628.66,0.00,0.00,0.00,"4,237.74",0.00,0.00
122,"2,085.60",599.57,0.00,0.00,0.00,"3,947.71",0.00,0.00
123,"2,026.42",555.80,0.00,0.00,0.00,"3,610.88",0.00,0.00
124,"1,973.04",492.93,0.00,0.00,0.00,"3,193.97",0.00,0.00
125,"1,987.98",448.30,0.00,0.00,0.00,"2,700.56",0.00,0.00
126,"2,003.72",416.85,0.18,3.43,18.12,"2,010.61",64.14,18.12
127,"2,038.51",310.71,0.12,15.40,2.58,"1,120.85",265.35,2.58
128,"2,027.09",245.68,2.01,85.38,252.10,830.53,"1,747.42",252.10
129,"1,960.90",194.85,4.59,116.38,620.39,695.24,"2,461.67",620.39
130,"1,909.64",196.08,6.80,125.95,948.94,841.60,"2,680.39",948.94
131,"1,937.54",246.34,8.39,131.75,"1,196.29","1,155.25","2,793.41","1,196.29"
132,"2,050.24",227.69,9.42,133.48,"1,354.49","1,556.30","2,873.38","1,354.49"
133,"2,176.47",204.01,9.74,135.14,"1,409.79","1,970.67","2,913.80","1,409.79"
134,"2,357.39",222.23,9.38,135.63,"1,367.18","2,448.13","2,919.42","1,367.18"
135,"2,527.89",274.50,8.36,134.52,"1,227.94","2,982.89","2,891.62","1,227.94"
136,"2,784.16",353.97,6.68,131.19,992.53,"3,643.42","2,820.94",992.53
137,"3,106.80",426.12,4.41,119.36,667.97,"4,274.27","2,583.89",667.97
138,"3,392.24",489.81,1.86,63.74,298.51,"4,555.74","1,426.47",298.51
139,"3,533.35",465.07,0.79,17.65,97.05,"4,588.63",383.25,97.05
140,"3,408.59",622.36,0.00,0.00,0.15,"4,964.63",0.10,0.15
141,"3,231.16",750.96,0.00,0.00,0.00,"5,224.96",0.00,0.00
142,"2,973.15",773.85,0.00,0.00,0.00,"5,250.56",0.00,0.00
143,"2,708.58",738.46,0.00,0.00,0.00,"4,930.22",0.00,0.00
144,"2,448.40",664.92,0.00,0.00,0.00,"4,618.07",0.00,0.00
145,"2,238.19",593.43,0.00,0.00,0.00,"4,663.24",0.00,0.00
146,"2,128.85",589.65,0.00,0.00,0.00,"4,781.91",0.00,0.00
147,"2,074.83",615.56,0.00,0.00,0.00,"4,657.48",0.00,0.00
148,"2,026.35",580.58,0.00,0.00,0.00,"4,526.73",0.00,0.00
149,"2,011.73",518.48,0.00,0.00,0.00,"4,400.01",0.00,0.00
150,"2,008.03",381.36,0.17,3.11,16.23,"3,328.78",57.21,16.23
151,"1,964.99",354.31,0.15,14.85,4.89,"3,303.87",263.32,4.89
152,"1,940.55",277.01,2.00,84.25,250.47,"3,061.40","1,724.79",250.47
153,"1,860.83",243.43,4.58,115.65,619.94,"2,884.14","2,451.11",619.94
154,"1,815.78",163.78,6.84,125.20,947.99,"2,541.00","2,673.90",947.99
155,"1,861.60",113.28,8.52,131.70,"1,183.75","2,255.07","2,795.52","1,183.75"
156,"2,062.56",105.90,9.43,134.73,"1,333.95","2,087.70","2,863.18","1,333.95"
157,"2,328.73",135.55,9.71,136.36,"1,383.03","2,172.06","2,889.99","1,383.03"
158,"2,548.88",192.56,9.34,136.50,"1,340.20","2,414.20","2,891.47","1,340.20"
159,"2,764.76",252.85,8.34,135.21,"1,207.18","2,666.47","2,872.12","1,207.18"
160,"3,032.14",331.93,6.66,131.87,976.91,"2,900.03","2,809.83",976.91
161,"3,290.73",455.24,4.40,121.01,659.53,"3,254.89","2,572.49",659.53
162,"3,546.61",543.90,1.89,66.00,298.21,"3,607.95","1,437.08",298.21
163,"3,588.53",631.35,0.79,17.77,96.52,"4,289.63",384.77,96.52
164,"3,420.51",745.94,0.00,0.00,0.14,"4,914.99",0.10,0.14
165,"3,273.68",793.45,0.00,0.00,0.00,"5,051.69",0.00,0.00
166,"3,055.39",790.32,0.00,0.00,0.00,"4,937.13",0.00,0.00
167,"2,790.61",736.76,0.00,0.00,0.00,"4,559.58",0.00,0.00
168,"2,564.79",648.36,0.00,0.00,0.00,"4,079.01",0.00,0.00
169,"2,394.50",557.93,0.00,0.00,0.00,"3,712.28",0.00,0.00
170,"2,259.15",495.03,0.00,0.00,0.00,"3,714.20",0.00,0.00
171,"2,141.53",411.97,0.00,0.00,0.00,"3,564.16",0.00,0.00
172,"2,073.53",346.92,0.00,0.00,0.00,"3,265.09",0.00,0.00
173,"2,037.44",317.10,0.00,0.00,0.00,"3,106.28",0.00,0.00
174,"1,976.88",240.95,0.15,2.77,15.38,"2,457.05",51.22,15.38
175,"1,932.99",187.27,0.23,16.71,4.89,"1,910.79",285.69,4.89
176,"1,865.45",176.99,2.06,69.30,246.86,"1,554.20","1,589.19",246.86
177,"1,787.13",196.13,4.39,89.90,610.60,"1,516.39","2,257.26",610.60
178,"1,738.01",269.12,6.60,102.17,939.37,"1,763.28","2,581.61",939.37
179,"1,720.37",424.95,8.36,129.69,"1,193.71","2,524.46","2,744.77","1,193.71"
180,"1,768.83",537.97,9.24,134.85,"1,366.74","3,303.33","2,830.80","1,366.74"
181,"1,773.09",584.91,9.78,136.72,"1,430.96","3,669.05","2,897.85","1,430.96"
182,"1,804.93",705.49,9.47,137.39,"1,389.22","3,895.63","2,934.10","1,389.22"
183,"1,871.69",742.57,8.48,130.64,"1,243.75","4,232.67","2,861.26","1,243.75"
184,"2,021.50",761.66,6.78,127.72,"1,001.78","5,284.79","2,770.14","1,001.78"
185,"2,275.26",812.02,4.48,117.98,675.79,"5,821.45","2,553.11",675.79
186,"2,501.07",922.81,1.95,59.49,306.96,"5,929.98","1,375.77",306.96
187,"2,593.37",931.75,0.81,17.30,100.36,"5,910.88",372.02,100.36
188,"2,555.82",935.45,0.00,0.00,0.02,"5,910.16",0.12,0.02
189,"2,479.77",952.02,0.00,0.00,0.00,"5,947.10",0.00,0.00
190,"2,332.87",954.52,0.00,0.00,0.00,"5,923.08",0.00,0.00
191,"2,173.24",951.40,0.00,0.00,0.00,"5,792.25",0.00,0.00
192,"2,042.05",922.10,0.00,0.00,0.00,"5,734.95",0.00,0.00
193,"1,935.59",895.35,0.00,0.00,0.00,"5,717.12",0.00,0.00
194,"1,846.22",867.43,0.00,0.00,0.00,"5,570.80",0.00,0.00
195,"1,808.87",852.60,0.00,0.00,0.00,"5,141.68",0.00,0.00
196,"1,764.04",817.00,0.00,0.00,0.00,"4,700.17",0.00,0.00
197,"1,766.36",791.30,0.00,0.00,0.00,"4,397.72",0.00,0.00
198,"1,713.99",698.83,0.11,0.84,11.01,"3,713.75",30.34,11.01
199,"1,632.61",670.77,0.46,13.18,33.87,"4,356.06",292.43,33.87
200,"1,505.45",597.72,2.07,64.52,261.24,"3,785.84","1,304.99",261.24
201,"1,350.28",486.92,4.60,103.64,600.00,"3,087.54","2,313.49",600.00
202,"1,214.27",395.47,7.12,125.66,914.59,"2,490.44","2,667.35",914.59
203,"1,066.79",347.09,8.83,139.12,"1,201.28","2,168.68","2,910.82","1,201.28"
204,996.66,342.62,9.80,140.60,"1,386.19","2,239.32","2,992.89","1,386.19"
205,990.57,360.80,9.80,140.96,"1,448.21","2,703.46","2,998.56","1,448.21"
206,"1,007.67",412.25,9.80,140.96,"1,419.60","3,178.91","2,994.91","1,419.60"
207,"1,099.58",505.80,8.84,140.96,"1,272.13","3,719.01","2,987.79","1,272.13"
208,"1,282.62",591.22,7.09,140.50,"1,032.18","4,013.69","2,968.30","1,032.18"
209,"1,579.21",636.38,4.71,129.66,701.67,"4,235.96","2,764.13",701.67
210,"1,935.79",644.73,2.02,70.99,316.85,"4,115.32","1,565.27",316.85
211,"2,193.70",618.81,0.83,19.85,106.36,"4,399.66",419.34,106.36
212,"2,277.39",658.16,0.00,0.00,0.11,"4,657.28",0.12,0.11
213,"2,241.35",722.94,0.00,0.00,0.00,"4,755.74",0.00,0.00
214,"2,126.45",751.39,0.00,0.00,0.00,"4,610.54",0.00,0.00
215,"2,006.97",724.21,0.00,0.00,0.00,"4,235.67",0.00,0.00
216,"1,895.26",658.20,0.00,0.00,0.00,"3,819.82",0.00,0.00
217,"1,818.99",605.00,0.00,0.00,0.00,"3,643.14",0.00,0.00
218,"1,775.70",609.31,0.00,0.00,0.00,"3,729.19",0.00,0.00
219,"1,766.29",658.65,0.00,0.00,0.00,"3,628.94",0.00,0.00
220,"1,753.62",702.69,0.00,0.00,0.00,"3,540.74",0.00,0.00
221,"1,777.27",721.51,0.00,0.00,0.00,"3,470.92",0.00,0.00
222,"1,815.53",715.15,0.15,2.90,13.12,"3,181.10",48.59,13.12
223,"1,850.08",732.11,0.05,12.54,3.10,"3,249.66",215.61,3.10
224,"1,794.87",705.37,1.92,85.90,239.38,"3,748.46","1,685.31",239.38
225,"1,626.94",589.45,4.62,122.00,615.95,"3,224.00","2,481.98",615.95
226,"1,445.66",482.82,6.99,132.69,955.26,"2,425.82","2,771.14",955.26
227,"1,350.70",349.73,8.74,137.19,"1,199.78","1,671.70","2,897.30","1,199.78"
228,"1,346.72",222.11,9.73,139.38,"1,347.53","1,270.71","2,950.31","1,347.53"
229,"1,373.80",126.49,9.80,140.83,"1,401.78","1,048.95","2,981.92","1,401.78"
230,"1,573.83",96.45,9.80,140.96,"1,349.78","1,069.85","2,971.54","1,349.78"
231,"1,677.26",89.49,8.67,140.96,"1,194.35","1,431.04","2,950.19","1,194.35"
232,"1,855.42",118.09,6.95,138.34,970.99,"2,305.33","2,891.38",970.99
233,"2,098.12",176.97,4.60,126.82,669.99,"2,890.17","2,664.14",669.99
234,"2,316.93",179.10,2.02,69.99,315.04,"2,911.67","1,526.67",315.04
235,"2,548.93",261.95,0.83,19.33,100.21,"3,509.44",410.30,100.21
236,"2,572.01",348.44,0.00,0.00,0.11,"4,207.52",0.11,0.11
237,"2,502.16",452.53,0.00,0.00,0.00,"4,679.99",0.00,0.00
238,"2,337.60",551.36,0.00,0.00,0.00,"4,972.50",0.00,0.00
239,"2,155.01",638.83,0.00,0.00,0.00,"5,093.75",0.00,0.00
240,"2,018.26",700.01,0.00,0.00,0.00,"5,104.35",0.00,0.00
241,"1,914.12",760.78,0.00,0.00,0.00,"5,169.28",0.00,0.00
242,"1,844.72",815.56,0.00,0.00,0.00,"5,131.50",0.00,0.00
243,"1,809.40",853.14,0.00,0.00,0.00,"5,105.81",0.00,0.00
244,"1,809.67",849.66,0.00,0.00,0.00,"4,991.73",0.00,0.00
245,"1,815.86",826.66,0.00,0.00,0.00,"4,873.82",0.00,0.00
246,"1,862.08",776.80,0.14,1.91,12.44,"4,266.30",40.90,12.44
247,"1,896.94",695.10,0.05,13.86,2.37,"3,728.62",211.32,2.37
248,"1,849.68",505.91,1.88,83.64,234.68,"2,747.17","1,690.38",234.68
249,"1,705.72",354.44,4.53,118.32,609.51,"1,829.94","2,449.68",609.51
250,"1,604.97",211.51,6.88,128.76,930.75,949.51,"2,666.06",930.75
251,"1,597.62",136.02,8.48,132.08,"1,153.61",444.78,"2,762.67","1,153.61"
252,"1,749.71",108.02,9.50,135.44,"1,298.29",262.04,"2,855.95","1,298.29"
253,"1,816.89",96.87,9.80,137.58,"1,325.78",294.16,"2,870.55","1,325.78"
254,"1,968.16",155.97,9.49,137.83,"1,339.33","1,019.70","2,880.76","1,339.33"
255,"2,158.68",246.45,8.38,136.93,"1,222.40","1,721.42","2,813.02","1,222.40"
256,"2,382.67",361.10,6.48,130.91,"1,006.20","2,327.18","2,716.81","1,006.20"
257,"2,731.17",460.66,4.53,121.40,678.69,"2,708.02","2,549.84",678.69
258,"3,076.52",463.09,2.00,67.01,316.14,"2,496.53","1,471.00",316.14
259,"3,213.05",532.54,0.80,18.13,99.58,"3,214.29",386.59,99.58
260,"3,122.61",631.63,0.00,0.00,0.15,"4,041.58",0.11,0.15
261,"2,938.65",654.84,0.00,0.00,0.00,"4,137.26",0.00,0.00
262,"2,682.00",626.45,0.00,0.00,0.00,"4,319.63",0.00,0.00
263,"2,415.67",580.51,0.00,0.00,0.00,"4,037.00",0.00,0.00
264,"2,212.50",553.70,0.00,0.00,0.00,"3,855.37",0.00,0.00
265,"2,075.95",516.27,0.00,0.00,0.00,"3,680.91",0.00,0.00
266,"2,000.39",465.14,0.00,0.00,0.00,"3,559.02",0.00,0.00
267,"1,962.45",400.38,0.00,0.00,0.00,"3,455.80",0.00,0.00
268,"1,926.63",341.62,0.00,0.00,0.00,"3,365.58",0.00,0.00
269,"1,928.78",302.22,0.00,0.00,0.00,"3,219.11",0.00,0.00
270,"1,980.18",177.65,0.12,1.94,10.02,"2,605.97",35.58,10.02
271,"2,054.48",149.06,0.09,12.29,2.12,"1,958.34",203.40,2.12
272,"2,089.62",168.07,1.86,79.95,231.39,"1,594.17","1,638.03",231.39
273,"2,032.86",168.89,4.40,114.08,594.58,"1,377.48","2,410.32",594.58
274,"1,962.77",184.36,6.64,124.73,919.66,"1,232.88","2,648.94",919.66
275,"1,967.53",194.73,8.26,131.13,"1,169.87","1,165.77","2,780.57","1,169.87"
276,"2,025.70",216.76,9.36,127.72,"1,338.79","1,277.45","2,877.18","1,338.79"
277,"2,106.74",308.64,9.75,136.61,"1,407.42","1,808.99","2,902.68","1,407.42"
278,"2,185.14",445.07,9.48,135.58,"1,382.47","2,570.44","2,894.98","1,382.47"
279,"2,296.07",527.93,8.53,124.52,"1,249.42","2,966.53","2,896.94","1,249.42"
280,"2,473.48",542.02,6.89,119.77,"1,018.41","2,996.21","2,725.03","1,018.41"
281,"2,666.37",498.73,4.61,124.96,696.27,"2,945.88","2,545.16",696.27
282,"2,934.52",469.90,2.04,69.19,324.20,"3,203.56","1,497.11",324.20
283,"3,009.01",426.25,0.81,18.69,100.70,"3,438.04",391.98,100.70
284,"2,916.94",458.77,0.00,0.00,0.15,"3,886.55",0.11,0.15
285,"2,773.87",511.49,0.00,0.00,0.00,"3,799.71",0.00,0.00
286,"2,555.53",501.08,0.00,0.00,0.00,"3,147.32",0.00,0.00
287,"2,351.31",482.39,0.00,0.00,0.00,"2,770.86",0.00,0.00
288,"2,182.32",416.51,0.00,0.00,0.00,"2,340.95",0.00,0.00
289,"2,075.11",325.59,0.00,0.00,0.00,"1,952.99",0.00,0.00
290,"1,981.85",249.40,0.00,0.00,0.00,"1,689.84",0.00,0.00
291,"1,933.96",232.02,0.00,0.00,0.00,"1,742.42",0.00,0.00
292,"1,920.44",207.76,0.00,0.00,0.00,"1,664.57",0.00,0.00
293,"1,928.57",206.38,0.00,0.00,0.00,"1,781.10",0.00,0.00
294,"1,984.12",188.95,0.10,2.02,5.17,"1,397.98",31.67,5.17
295,"2,110.59",160.74,0.29,14.07,63.39,"1,469.44",294.03,63.39
296,"2,191.33",143.06,1.97,76.65,250.96,"1,466.83","1,537.17",250.96
297,"2,117.58",145.02,4.44,107.37,537.89,"1,459.00","2,255.70",537.89
298,"1,982.25",163.48,6.81,119.59,850.00,"1,412.54","2,627.78",850.00
299,"1,686.72",195.21,8.53,128.66,"1,070.21","1,429.34","2,786.78","1,070.21"
300,"1,522.14",224.14,9.52,133.96,"1,315.69","1,571.39","2,887.06","1,315.69"
301,"1,466.90",265.50,9.80,138.45,"1,418.30","1,899.52","2,948.50","1,418.30"
302,"1,554.83",301.73,9.51,139.14,"1,387.49","2,220.33","2,965.87","1,387.49"
303,"1,704.74",345.89,8.49,137.86,"1,255.11","2,566.25","2,942.54","1,255.11"
304,"1,925.81",387.76,6.85,135.08,"1,025.77","2,795.96","2,883.45","1,025.77"
305,"2,196.40",430.38,4.60,123.96,699.50,"2,929.17","2,660.07",699.50
306,"2,473.47",434.14,2.05,69.11,326.55,"2,787.57","1,535.47",326.55
307,"2,636.49",416.34,0.80,18.34,100.44,"2,878.88",399.24,100.44
308,"2,631.16",449.12,0.00,0.00,0.09,"3,442.51",0.00,0.09
309,"2,531.68",466.17,0.00,0.00,0.00,"3,626.09",0.00,0.00
310,"2,321.71",526.30,0.00,0.00,0.00,"3,505.96",0.00,0.00
311,"2,151.18",572.98,0.00,0.00,0.00,"2,974.07",0.00,0.00
312,"2,006.44",566.97,0.00,0.00,0.00,"2,365.00",0.00,0.00
313,"1,900.27",531.09,0.00,0.00,0.00,"2,053.10",0.00,0.00
314,"1,829.96",480.34,0.00,0.00,0.00,"1,799.49",0.00,0.00
315,"1,784.52",448.08,0.00,0.00,0.00,"1,596.85",0.00,0.00
316,"1,737.89",424.46,0.00,0.00,0.00,"1,427.42",0.00,0.00
317,"1,754.00",411.62,0.00,0.00,0.00,"1,423.67",0.00,0.00
318,"1,804.09",399.18,0.10,1.68,7.55,"1,414.29",29.77,7.55
319,"1,862.77",360.34,0.08,11.88,2.79,"1,221.82",195.89,2.79
320,"1,831.95",347.07,1.83,78.48,228.15,"1,083.83","1,617.20",228.15
321,"1,699.53",317.02,4.43,113.79,591.38,"1,200.56","2,413.48",591.38
322,"1,561.92",291.68,6.74,125.83,921.12,"1,358.98","2,666.74",921.12
323,"1,488.96",289.31,8.46,133.59,"1,163.94","1,587.26","2,805.57","1,163.94"
324,"1,501.34",286.56,9.53,137.10,"1,332.32","1,742.89","2,875.60","1,332.32"
325,"1,551.78",314.32,9.80,139.43,"1,410.05","2,080.54","2,926.05","1,410.05"
326,"1,598.29",357.57,9.60,140.33,"1,387.21","2,470.73","2,955.46","1,387.21"
327,"1,726.64",426.27,8.63,139.34,"1,266.12","2,952.23","2,929.99","1,266.12"
328,"1,932.09",498.30,6.95,136.32,"1,036.01","3,283.04","2,859.51","1,036.01"
329,"2,191.76",535.09,4.66,124.79,711.29,"3,386.63","2,660.33",711.29
330,"2,432.88",513.13,2.09,70.37,332.43,"3,105.27","1,544.07",332.43
331,"2,556.35",517.92,0.81,18.73,101.09,"3,154.21",398.02,101.09
