idScenarios,idTechnologies,idzones,year,hour,supply,quantum,Col
1,91,0,2022,1,1,3367.28,4
1,91,0,2022,2,1,3274.07,4
1,91,0,2022,3,1,3038.76,4
1,91,0,2022,4,1,2474.87,4
1,91,0,2022,5,1,1903.88,4
1,91,0,2022,6,1,1473.87,4
1,91,0,2022,7,1,1640.17,4
1,91,0,2022,8,1,1668.8,4
1,91,0,2022,9,1,1426.89,4
1,91,0,2022,10,1,1205.72,4
1,91,0,2022,11,1,1021.94,4
1,91,0,2022,12,1,976.48,4
1,91,0,2022,13,1,1261.23,4
1,91,0,2022,14,1,1739.8,4
1,91,0,2022,15,1,2252.15,4
1,91,0,2022,16,1,2617.31,4
1,91,0,2022,17,1,3038.85,4
1,91,0,2022,18,1,3189.48,4
1,91,0,2022,19,1,3654.06,4
1,91,0,2022,20,1,4209.91,4
1,91,0,2022,21,1,4589.79,4
1,91,0,2022,22,1,4561.63,4
1,91,0,2022,23,1,4337.03,4
1,91,0,2022,24,1,3923.04,4
1,91,0,2022,25,1,3476.71,4
1,91,0,2022,26,1,3180.62,4
1,91,0,2022,27,1,3076.52,4
1,91,0,2022,28,1,3065.83,4
1,91,0,2022,29,1,2941.74,4
1,91,0,2022,30,1,2269.8,4
1,91,0,2022,31,1,1565.43,4
1,91,0,2022,32,1,1086.08,4
1,91,0,2022,33,1,650.23,4
1,91,0,2022,34,1,309.68,4
1,91,0,2022,35,1,82.6,4
1,91,0,2022,36,1,17.23,4
1,91,0,2022,37,1,245.54,4
1,91,0,2022,38,1,773.31,4
1,91,0,2022,39,1,1567.72,4
1,91,0,2022,40,1,2182.93,4
1,91,0,2022,41,1,2607.79,4
1,91,0,2022,42,1,2414.52,4
1,91,0,2022,43,1,2962.45,4
1,91,0,2022,44,1,3887.87,4
1,91,0,2022,45,1,4096.29,4
1,91,0,2022,46,1,4142.08,4
1,91,0,2022,47,1,3959.8,4
1,91,0,2022,48,1,3564.65,4
1,91,0,2022,49,1,3164.94,4
1,91,0,2022,50,1,2745.99,4
1,91,0,2022,51,1,2373.51,4
1,91,0,2022,52,1,2126.18,4
1,91,0,2022,53,1,2116.34,4
1,91,0,2022,54,1,1782.19,4
1,91,0,2022,55,1,1118.8,4
1,91,0,2022,56,1,870.27,4
1,91,0,2022,57,1,776.38,4
1,91,0,2022,58,1,826.32,4
1,91,0,2022,59,1,949.43,4
1,91,0,2022,60,1,1232.21,4
1,91,0,2022,61,1,1757.62,4
1,91,0,2022,62,1,2251.67,4
1,91,0,2022,63,1,2892.53,4
1,91,0,2022,64,1,3510.21,4
1,91,0,2022,65,1,4009.77,4
1,91,0,2022,66,1,4402.54,4
1,91,0,2022,67,1,4693.73,4
1,91,0,2022,68,1,4815.54,4
1,91,0,2022,69,1,4875.53,4
1,91,0,2022,70,1,4731.93,4
1,91,0,2022,71,1,4429.84,4
1,91,0,2022,72,1,4129.61,4
1,91,0,2022,73,1,4076.09,4
1,91,0,2022,74,1,4175.8,4
1,91,0,2022,75,1,4090.24,4
1,91,0,2022,76,1,3995.33,4
1,91,0,2022,77,1,3781.37,4
1,91,0,2022,78,1,3062.73,4
1,91,0,2022,79,1,2980.48,4
1,91,0,2022,80,1,2827.17,4
1,91,0,2022,81,1,2601.91,4
1,91,0,2022,82,1,2448.81,4
1,91,0,2022,83,1,2320.94,4
1,91,0,2022,84,1,2330.17,4
1,91,0,2022,85,1,2477.77,4
1,91,0,2022,86,1,2889.8,4
1,91,0,2022,87,1,3253.34,4
1,91,0,2022,88,1,3523.79,4
1,91,0,2022,89,1,3722.59,4
1,91,0,2022,90,1,3627.68,4
1,91,0,2022,91,1,4228.37,4
1,91,0,2022,92,1,4532.34,4
1,91,0,2022,93,1,4698.03,4
1,91,0,2022,94,1,4911.41,4
1,91,0,2022,95,1,5058.95,4
1,91,0,2022,96,1,5044.09,4
1,91,0,2022,97,1,4902.59,4
1,91,0,2022,98,1,4795.82,4
1,91,0,2022,99,1,4770.26,4
1,91,0,2022,100,1,4830,4
1,91,0,2022,101,1,4961.14,4
1,91,0,2022,102,1,4768.25,4
1,91,0,2022,103,1,4411.68,4
1,91,0,2022,104,1,3312.28,4
1,91,0,2022,105,1,2329.5,4
1,91,0,2022,106,1,1582.39,4
1,91,0,2022,107,1,1135.54,4
1,91,0,2022,108,1,926.98,4
1,91,0,2022,109,1,965.1,4
1,91,0,2022,110,1,1334.21,4
1,91,0,2022,111,1,2114.87,4
1,91,0,2022,112,1,2652.68,4
1,91,0,2022,113,1,3115.86,4
1,91,0,2022,114,1,3210.43,4
1,91,0,2022,115,1,3786.92,4
1,91,0,2022,116,1,4332.8,4
1,91,0,2022,117,1,4791,4
1,91,0,2022,118,1,4758.43,4
1,91,0,2022,119,1,4554.38,4
1,91,0,2022,120,1,4394.47,4
1,91,0,2022,121,1,4237.74,4
1,91,0,2022,122,1,3947.71,4
1,91,0,2022,123,1,3610.88,4
1,91,0,2022,124,1,3193.97,4
1,91,0,2022,125,1,2700.56,4
1,91,0,2022,126,1,2010.61,4
1,91,0,2022,127,1,1120.85,4
1,91,0,2022,128,1,830.53,4
1,91,0,2022,129,1,695.24,4
1,91,0,2022,130,1,841.6,4
1,91,0,2022,131,1,1155.25,4
1,91,0,2022,132,1,1556.3,4
1,91,0,2022,133,1,1970.67,4
1,91,0,2022,134,1,2448.13,4
1,91,0,2022,135,1,2982.89,4
1,91,0,2022,136,1,3643.42,4
1,91,0,2022,137,1,4274.27,4
1,91,0,2022,138,1,4555.74,4
1,91,0,2022,139,1,4588.63,4
1,91,0,2022,140,1,4964.63,4
1,91,0,2022,141,1,5224.96,4
1,91,0,2022,142,1,5250.56,4
1,91,0,2022,143,1,4930.22,4
1,91,0,2022,144,1,4618.07,4
1,91,0,2022,145,1,4663.24,4
1,91,0,2022,146,1,4781.91,4
1,91,0,2022,147,1,4657.48,4
1,91,0,2022,148,1,4526.73,4
1,91,0,2022,149,1,4400.01,4
1,91,0,2022,150,1,3328.78,4
1,91,0,2022,151,1,3303.87,4
1,91,0,2022,152,1,3061.4,4
1,91,0,2022,153,1,2884.14,4
1,91,0,2022,154,1,2541,4
1,91,0,2022,155,1,2255.07,4
1,91,0,2022,156,1,2087.7,4
1,91,0,2022,157,1,2172.06,4
1,91,0,2022,158,1,2414.2,4
1,91,0,2022,159,1,2666.47,4
1,91,0,2022,160,1,2900.03,4
1,91,0,2022,161,1,3254.89,4
1,91,0,2022,162,1,3607.95,4
1,91,0,2022,163,1,4289.63,4
1,91,0,2022,164,1,4914.99,4
1,91,0,2022,165,1,5051.69,4
1,91,0,2022,166,1,4937.13,4
1,91,0,2022,167,1,4559.58,4
1,91,0,2022,168,1,4079.01,4
1,91,0,2022,169,1,3712.28,4
1,91,0,2022,170,1,3714.2,4
1,91,0,2022,171,1,3564.16,4
1,91,0,2022,172,1,3265.09,4
1,91,0,2022,173,1,3106.28,4
1,91,0,2022,174,1,2457.05,4
1,91,0,2022,175,1,1910.79,4
1,91,0,2022,176,1,1554.2,4
1,91,0,2022,177,1,1516.39,4
1,91,0,2022,178,1,1763.28,4
1,91,0,2022,179,1,2524.46,4
1,91,0,2022,180,1,3303.33,4
1,91,0,2022,181,1,3669.05,4
1,91,0,2022,182,1,3895.63,4
1,91,0,2022,183,1,4232.67,4
1,91,0,2022,184,1,5284.79,4
1,91,0,2022,185,1,5821.45,4
1,91,0,2022,186,1,5929.98,4
1,91,0,2022,187,1,5910.88,4
1,91,0,2022,188,1,5910.16,4
1,91,0,2022,189,1,5947.1,4
1,91,0,2022,190,1,5923.08,4
1,91,0,2022,191,1,5792.25,4
1,91,0,2022,192,1,5734.95,4
1,91,0,2022,193,1,5717.12,4
1,91,0,2022,194,1,5570.8,4
1,91,0,2022,195,1,5141.68,4
1,91,0,2022,196,1,4700.17,4
1,91,0,2022,197,1,4397.72,4
1,91,0,2022,198,1,3713.75,4
1,91,0,2022,199,1,4356.06,4
1,91,0,2022,200,1,3785.84,4
1,91,0,2022,201,1,3087.54,4
1,91,0,2022,202,1,2490.44,4
1,91,0,2022,203,1,2168.68,4
1,91,0,2022,204,1,2239.32,4
1,91,0,2022,205,1,2703.46,4
1,91,0,2022,206,1,3178.91,4
1,91,0,2022,207,1,3719.01,4
1,91,0,2022,208,1,4013.69,4
1,91,0,2022,209,1,4235.96,4
1,91,0,2022,210,1,4115.32,4
1,91,0,2022,211,1,4399.66,4
1,91,0,2022,212,1,4657.28,4
1,91,0,2022,213,1,4755.74,4
1,91,0,2022,214,1,4610.54,4
1,91,0,2022,215,1,4235.67,4
1,91,0,2022,216,1,3819.82,4
1,91,0,2022,217,1,3643.14,4
1,91,0,2022,218,1,3729.19,4
1,91,0,2022,219,1,3628.94,4
1,91,0,2022,220,1,3540.74,4
1,91,0,2022,221,1,3470.92,4
1,91,0,2022,222,1,3181.1,4
1,91,0,2022,223,1,3249.66,4
1,91,0,2022,224,1,3748.46,4
1,91,0,2022,225,1,3224,4
1,91,0,2022,226,1,2425.82,4
1,91,0,2022,227,1,1671.7,4
1,91,0,2022,228,1,1270.71,4
1,91,0,2022,229,1,1048.95,4
1,91,0,2022,230,1,1069.85,4
1,91,0,2022,231,1,1431.04,4
1,91,0,2022,232,1,2305.33,4
1,91,0,2022,233,1,2890.17,4
1,91,0,2022,234,1,2911.67,4
1,91,0,2022,235,1,3509.44,4
1,91,0,2022,236,1,4207.52,4
1,91,0,2022,237,1,4679.99,4
1,91,0,2022,238,1,4972.5,4
1,91,0,2022,239,1,5093.75,4
1,91,0,2022,240,1,5104.35,4
1,91,0,2022,241,1,5169.28,4
1,91,0,2022,242,1,5131.5,4
1,91,0,2022,243,1,5105.81,4
1,91,0,2022,244,1,4991.73,4
1,91,0,2022,245,1,4873.82,4
1,91,0,2022,246,1,4266.3,4
1,91,0,2022,247,1,3728.62,4
1,91,0,2022,248,1,2747.17,4
1,91,0,2022,249,1,1829.94,4
1,91,0,2022,250,1,949.51,4
1,91,0,2022,251,1,444.78,4
1,91,0,2022,252,1,262.04,4
1,91,0,2022,253,1,294.16,4
1,91,0,2022,254,1,1019.7,4
1,91,0,2022,255,1,1721.42,4
1,91,0,2022,256,1,2327.18,4
1,91,0,2022,257,1,2708.02,4
1,91,0,2022,258,1,2496.53,4
1,91,0,2022,259,1,3214.29,4
1,91,0,2022,260,1,4041.58,4
1,91,0,2022,261,1,4137.26,4
1,91,0,2022,262,1,4319.63,4
1,91,0,2022,263,1,4037,4
1,91,0,2022,264,1,3855.37,4
1,91,0,2022,265,1,3680.91,4
1,91,0,2022,266,1,3559.02,4
1,91,0,2022,267,1,3455.8,4
1,91,0,2022,268,1,3365.58,4
1,91,0,2022,269,1,3219.11,4
1,91,0,2022,270,1,2605.97,4
1,91,0,2022,271,1,1958.34,4
1,91,0,2022,272,1,1594.17,4
1,91,0,2022,273,1,1377.48,4
1,91,0,2022,274,1,1232.88,4
1,91,0,2022,275,1,1165.77,4
1,91,0,2022,276,1,1277.45,4
1,91,0,2022,277,1,1808.99,4
1,91,0,2022,278,1,2570.44,4
1,91,0,2022,279,1,2966.53,4
1,91,0,2022,280,1,2996.21,4
1,91,0,2022,281,1,2945.88,4
1,91,0,2022,282,1,3203.56,4
1,91,0,2022,283,1,3438.04,4
1,91,0,2022,284,1,3886.55,4
1,91,0,2022,285,1,3799.71,4
1,91,0,2022,286,1,3147.32,4
1,91,0,2022,287,1,2770.86,4
1,91,0,2022,288,1,2340.95,4
1,91,0,2022,289,1,1952.99,4
1,91,0,2022,290,1,1689.84,4
1,91,0,2022,291,1,1742.42,4
1,91,0,2022,292,1,1664.57,4
1,91,0,2022,293,1,1781.1,4
1,91,0,2022,294,1,1397.98,4
1,91,0,2022,295,1,1469.44,4
1,91,0,2022,296,1,1466.83,4
1,91,0,2022,297,1,1459,4
1,91,0,2022,298,1,1412.54,4
1,91,0,2022,299,1,1429.34,4
1,91,0,2022,300,1,1571.39,4
1,91,0,2022,301,1,1899.52,4
1,91,0,2022,302,1,2220.33,4
1,91,0,2022,303,1,2566.25,4
1,91,0,2022,304,1,2795.96,4
1,91,0,2022,305,1,2929.17,4
1,91,0,2022,306,1,2787.57,4
1,91,0,2022,307,1,2878.88,4
1,91,0,2022,308,1,3442.51,4
1,91,0,2022,309,1,3626.09,4
1,91,0,2022,310,1,3505.96,4
1,91,0,2022,311,1,2974.07,4
1,91,0,2022,312,1,2365,4
1,91,0,2022,313,1,2053.1,4
1,91,0,2022,314,1,1799.49,4
1,91,0,2022,315,1,1596.85,4
1,91,0,2022,316,1,1427.42,4
1,91,0,2022,317,1,1423.67,4
1,91,0,2022,318,1,1414.29,4
1,91,0,2022,319,1,1221.82,4
1,91,0,2022,320,1,1083.83,4
1,91,0,2022,321,1,1200.56,4
1,91,0,2022,322,1,1358.98,4
1,91,0,2022,323,1,1587.26,4
1,91,0,2022,324,1,1742.89,4
1,91,0,2022,325,1,2080.54,4
1,91,0,2022,326,1,2470.73,4
1,91,0,2022,327,1,2952.23,4
1,91,0,2022,328,1,3283.04,4
1,91,0,2022,329,1,3386.63,4
1,91,0,2022,330,1,3105.27,4
1,91,0,2022,331,1,3154.21,4
1,91,0,2022,332,1,3543.13,4
1,91,0,2022,333,1,3762.27,4
1,91,0,2022,334,1,3698.06,4
1,91,0,2022,335,1,3578.61,4
1,91,0,2022,336,1,3197.04,4
1,91,0,2022,337,1,2816.74,4
1,91,0,2022,338,1,2417.24,4
1,91,0,2022,339,1,1991.74,4
1,91,0,2022,340,1,1692.77,4
1,91,0,2022,341,1,1469.31,4
1,91,0,2022,342,1,1295.55,4
1,91,0,2022,343,1,767.68,4
1,91,0,2022,344,1,612.92,4
1,91,0,2022,345,1,507.14,4
1,91,0,2022,346,1,594.91,4
1,91,0,2022,347,1,811.8,4
1,91,0,2022,348,1,1219.79,4
1,91,0,2022,349,1,2020.14,4
1,91,0,2022,350,1,2917.33,4
1,91,0,2022,351,1,3604.36,4
1,91,0,2022,352,1,4009.99,4
1,91,0,2022,353,1,4195.84,4
1,91,0,2022,354,1,4429.22,4
1,91,0,2022,355,1,4519.58,4
1,91,0,2022,356,1,4802.41,4
1,91,0,2022,357,1,4929.72,4
1,91,0,2022,358,1,4736.33,4
1,91,0,2022,359,1,4473.85,4
1,91,0,2022,360,1,4025.9,4
1,91,0,2022,361,1,3759.69,4
1,91,0,2022,362,1,3564.36,4
1,91,0,2022,363,1,3384.59,4
1,91,0,2022,364,1,3262.67,4
