length_m,objectid,class,name,revised,ga_guid,capacitykv
1878.705111,1300,Underground,James Street to Cook Street,2012/07/10 00:00:00+00,{A11AFE11-45AE-426A-9B24-251078E8CC82},132
256.28013,1301,Overhead,East Perth to Joel Terrace,2012/07/10 00:00:00+00,{5DD6EBC3-495C-471F-B6D1-E84D35918D56},132
305.5251762,1302,Overhead,East Perth to Joel Terrace (South East),2012/07/10 00:00:00+00,{2A52FC0C-5E9F-487F-AE02-97D7BB109404},132
13293.3482,1303,Overhead,Pinjar Terminal to Muchea (North),2012/07/10 00:00:00+00,{2A405E06-3DEC-4F05-8BFC-94D37B4510FC},132
75679.04421,1304,Overhead,Three Springs to Golden Grove (East),2012/07/10 00:00:00+00,{866352E2-F09E-472A-B291-BE837595D4F9},132
134366.4546,1305,Overhead,Moora to Three Springs,2012/07/10 00:00:00+00,{C654E824-AE54-4301-8B2A-D69083473143},132
54734.19821,1306,Overhead,Geraldton to Mungarra Terminal,2012/07/10 00:00:00+00,{E64CEA33-20EA-4C99-A750-B11F97EF8736},132
63486.83826,1307,Overhead,Pinjar Terminal to Regans,2012/07/10 00:00:00+00,{1E2E2F31-25B4-48CB-A553-454A46A10E0B},132
104808.878,1308,Overhead,Muchea to Moora,2012/07/10 00:00:00+00,{5DEB3FFD-9DDF-4E93-891A-BC8AC82B8C4D},132
48071.78092,1309,Overhead,Kerr-McGee Cataby to Regans,2012/07/10 00:00:00+00,{B30DB5BE-3BA6-4199-B7F2-0572A02C43D3},132
5631.374237,1310,Overhead,Geraldton to Durlacher Street,2012/07/10 00:00:00+00,{82C6D983-A53C-4AAF-A286-0DB5FC12C0D9},33
4790.885624,1311,Overhead,Geraldton to Durlacher Street {North),2012/07/10 00:00:00+00,{DFB83504-3E67-4E85-9550-C525E9B39A78},33
97206.6216,1312,Overhead,Mungarra Terminal to Three Springs,2012/07/10 00:00:00+00,{E98AFBC2-40CD-4F30-9CD6-EF310EF04272},132
37475.56216,1313,Overhead,Geraldton to Walkaway Wind Farm,2012/07/10 00:00:00+00,{A78511D5-1787-4474-B42C-7F030F53050B},132
233.5606428,1314,Overhead,Pinjar Terminal to Pinjar Power Station (B),2012/07/10 00:00:00+00,{054109EA-3209-4D84-8098-EAA8FCBDEC0E},132
125678.0102,1315,Overhead,Pinjar Terminal to Kerr-McGee Cataby (East),2012/07/10 00:00:00+00,{E4081F58-A60D-4852-994C-933DB88535E6},132
37682.06945,1316,Overhead,Malaga to Pinjar Terminal,2012/07/10 00:00:00+00,{0DED7C70-8ECD-47D2-8984-E672846AEDAB},330
368.4661122,1317,Overhead,Pinjar Terminal to Pinjar Power Station (A),2012/07/10 00:00:00+00,{F9AE1B7E-2FF2-4F30-8E83-6F20D6A8B4D0},132
15713.12631,1318,Overhead,Pinjar Terminal to Yanchep,2012/07/10 00:00:00+00,{A525FC8B-F412-437D-A527-84B19885737D},132
230.041173,1319,Overhead,Pinjar Terminal to Pinjar Power Station (C),2012/07/10 00:00:00+00,{A84C36D9-3E2C-4AFE-8E62-BD95416EBBB9},132
498.1296368,1320,Overhead,Pinjar Terminal to Pinjar Power Station (E),2012/07/10 00:00:00+00,{0394E311-D3BD-4CD5-9570-64477C19E2CA},132
908.4334715,1321,Overhead,Pinjar Terminal to Pinjar Power Station (F),2012/07/10 00:00:00+00,{005E9DB5-C99C-42C3-8846-EDF53B85862E},132
331.6483778,1322,Overhead,Pinjar Terminal to Pinjar Power Station (D),2012/07/10 00:00:00+00,{484616CE-9558-498F-9B49-A627D057B6BA},132
2668.185759,1323,Overhead,Neerabup to Neerabup Power Station,2012/07/10 00:00:00+00,{79D079AE-2A7E-43E6-9CF6-176AE2C2CDC1},330
745.2165787,1324,Overhead,Neerabup to Neerabup Terminal,2012/07/10 00:00:00+00,{6EB7F8D7-D5A3-42CC-A190-7401591D9022},132
11764.83459,1325,Overhead,Neerabup Terminal to Wanneroo,2012/07/10 00:00:00+00,{ED1764DB-F3F5-42C0-8B0A-65977513A149},132
19321.21615,1326,Overhead,Neerabup Terminal to Pinjar,2012/07/10 00:00:00+00,{90304106-DFEC-4FB1-87DD-08CB518976AF},132
210150.5026,1327,Overhead,Neerabup to Eneabba,2016/11/21 00:00:00+00,{D49236A3-9A83-4AF2-B86A-644E6442709D},330
5019.637364,1328,Overhead,Mullaloo to Padbury,2012/07/10 00:00:00+00,{26AA68E5-DBA5-4FB3-BB91-541760CAA6D9},132
6923.873673,1329,Overhead,Wangara to Landsdale,2012/07/10 00:00:00+00,{AED628AA-E38F-445D-9DD6-E81CA2C7C02A},132
5641.079108,1330,Overhead,Mullaloo to Wangara,2012/07/10 00:00:00+00,{26A25124-5C8D-4662-B461-D0DFAE289E25},132
2930.30657,1331,Overhead,Muchea to Kerr-McGee Muchea,2012/07/10 00:00:00+00,{F40267FC-E362-49B6-8A8E-D30F9570A472},132
8571.70674,1332,Overhead,Geraldton to Chapman,2012/07/10 00:00:00+00,{91973B11-0BF5-4637-81F2-0CE8AA6914EB},132
7064.095689,1333,Overhead,Geraldton to Chapman (East),2012/07/10 00:00:00+00,{89C8D90B-1F44-4FA2-BC05-E34AA8C5CBA6},132
7147.108131,1334,Overhead,Geraldton to Rangeway,2012/07/10 00:00:00+00,{A7C3F6D1-A5AE-4393-A22E-6FDB922DC8CA},132
13023.68696,1335,Overhead,Malaga to Ellenbrook,2012/07/10 00:00:00+00,{5AB081EE-69EB-4BEA-840C-F0C7D5B1A63D},132
31969.94394,1336,Overhead,Muchea to Ellenbrook,2012/07/10 00:00:00+00,{8F246158-80B2-45D5-9EEC-E6CA814F7F4C},132
98784.25894,1337,Overhead,South Hedland to Goldsworthy,2012/07/10 00:00:00+00,{A445BB40-F326-4B5F-B480-625C10332531},66
79301.51041,1338,Overhead,Cape Lambert to Pannawonica,2012/07/10 00:00:00+00,{ACCBBC8B-AC77-471E-9B4B-E86F65E2E268},132
41668.58613,1339,Overhead,Karratha Terminal to Cape Lambert Terminal,2012/07/10 00:00:00+00,{558575BD-5C93-47DE-9BB3-55EC3A5143D1},132
51856.23481,1340,Overhead,Yandicoogina to Tee,2012/07/10 00:00:00+00,{4D2F9679-B829-4530-AEBC-8F21576D17DF},220
90654.52517,1341,Overhead,Argyle Diamond Mine to Lake Argyle,2012/07/10 00:00:00+00,{2DACD926-A2F8-40CB-B9AD-87E36BB47572},132
44534.62477,1342,Overhead,Kununurra to Lake Argyle,2012/07/10 00:00:00+00,{48F42BA1-0D7A-4BA8-8FDB-E84FB2E93883},132
1920.122369,1343,Overhead,Lake Argyle Power Station to Lake Argyle,2012/07/10 00:00:00+00,{3DC79056-6E5A-4924-BDDC-A66298A43E87},132
88635.22939,1344,Overhead,Leinster to Mount Keith Mine,2012/07/10 00:00:00+00,{D751A434-6653-4058-9717-12B273999009},132
3903.352591,1345,Overhead,Parkeston to Tee,2012/07/10 00:00:00+00,{B0D1CF82-E0F8-4175-8E12-967AB2CA30E8},132
11373.9429,1346,Overhead,Boulder to West Kalgoorlie Terminal,2012/07/10 00:00:00+00,{06347598-787B-4F70-B397-AC88C6272AC4},132
3295.188819,1347,Overhead,Piccadilly to Tee,2012/07/10 00:00:00+00,{F50847C3-7DCE-4DAD-A444-5C9035D9FA44},132
43092.49779,1348,Overhead,Western Mining Smelter to Western Mining Kambalda,2012/07/10 00:00:00+00,{765BDDD8-F414-4B14-A600-9F72096EA9C3},132
24181.2228,1349,Overhead,Western Mining Kambalda to Jan,2012/07/10 00:00:00+00,{CDBA4289-4744-42BF-BF91-DD5A60E0C43E},132
35203.2636,1350,Overhead,West Kalgoorlie Terminal to Black Flag,2012/07/10 00:00:00+00,{D0E08BA6-70D4-4275-98D8-4685D7E3CF9B},132
15572.2712,1351,Overhead,Boulder to Western Mining Smelter,2012/07/10 00:00:00+00,{D141110D-FC58-4CD5-AFA5-9B10A49B9F3A},132
6190.337675,1352,Overhead,West Kalgoorlie to Picadilly,2012/07/10 00:00:00+00,{D1AC871B-231B-43D9-85C6-48EE4A2124E2},132
3466.310098,1353,Overhead,Boulder to Tee,2012/07/10 00:00:00+00,{635CF84D-601D-4A5C-AFFD-D3BA9F068F71},132
208777.8895,1354,Overhead,Yilgarn to West Kalgoorlie Terminal,2012/07/10 00:00:00+00,{40FC139C-95CE-400F-9157-DA1980771778},220
11519.78264,1355,Overhead,Boulder to West Kalgoorlie Terminal 33,2012/07/10 00:00:00+00,{45F3A0E0-2800-4AB6-8AA3-D20FA8D61ED1},33
90850.10432,1356,Overhead,Northern Terminal to Northam,2012/07/10 00:00:00+00,{640EF30C-56A6-4EC1-A586-25244D04DB6B},132
